./results/ProGAN_train/checkpoint-0.pth model testing on...
testset,accuracy,avg precision
ADM,0.7590833333333333,0.8805137599135022
DALLE2,0.846,0.9531503845689105
Glide,0.86825,0.9785122155669055
Midjourney,0.76825,0.8517693957183939
VQDM,0.8034166666666667,0.9228653044363395
biggan,0.85725,0.9566278993809375
cyclegan,0.7740348221044663,0.8933459759406405
gaugan,0.9105,0.9959466801619589
progan,0.985125,0.9999995004371097
sd_xl,0.81125,0.9279491118916356
stable_diffusion_v_1_4,0.7808333333333334,0.8829287748358533
stable_diffusion_v_1_5,0.7716875,0.880846329373351
stargan,0.788144072036018,0.9187635578366797
stylegan,0.9831413787347688,0.9987487969604821
stylegan2,0.9753380070105158,0.9973464316626105
whichfaceisreal,0.7025,0.9268523600997084
wukong,0.7629166666666667,0.8735286611389331
