./results/ProGAN_train/checkpoint-0.pth model testing on...
testset,accuracy,avg precision
biggan,0.85725,0.9566278993809375
crn,0.5040739580068944,0.9983988581127965
cyclegan,0.7740348221044663,0.8933459759406404
deepfake,0.7480111008325624,0.8552247562737192
gaugan,0.9105,0.9959466558521423
imle,0.5040739580068944,0.9989209593729003
progan,0.985125,0.9999995004371097
san,0.6986301369863014,0.7744125879562846
seeingdark,0.6666666666666666,0.9366861339228842
stargan,0.788144072036018,0.9187635721810161
stylegan,0.9831413787347688,0.9987487969604821
stylegan2,0.9753380070105158,0.9973464316436896
whichfaceisreal,0.7025,0.9268523600997084
