./checkpoint/progan_train.pth model testing on...
testset,accuracy,avg precision
biggan,0.8395,0.9444081364436139
crn,0.6147759323096208,0.8330838073264315
cyclegan,0.9848599545798638,0.9989269605890618
deepfake,0.5378353376503238,0.7686933908225027
gaugan,0.7324,0.976947553178632
imle,0.6414133500470072,0.9923377387869965
progan,0.999875,1.0
san,0.454337899543379,0.45353321880915737
seeingdark,0.5222222222222223,0.5307897883454973
stargan,0.9989994997498749,0.9999975006196313
stylegan,0.9959939909864797,0.9999246000984837
stylegan2,0.974899849774662,0.9995736082472241
whichfaceisreal,0.672,0.9044567201845348
